title,year,avg_vote,votes
The Story of the Kelly Gang,1906,6.1,537
Den sorte drøm,1911,5.9,171
Cleopatra,1912,5.2,420
L'Inferno,1911,7,2019
"From the Manger to the Cross; or, Jesus of Nazareth",1912,5.7,438
Madame DuBarry,1919,6.8,709
Quo Vadis?,1913,6.2,241
Independenta Romaniei,1912,6.7,187
Richard III,1912,5.5,211
Atlantis,1913,6.7,310
Fantômas - À l'ombre de la guillotine,1913,7,1853
Ingeborg Holm,1913,7.1,888
Juve contre Fantômas,1913,7,1295
Maudite soit la guerre,1914,6.7,112
Le mort qui tue,1913,7,1000
"Home, Sweet Home",1914,5.7,170
Der Student von Prag,1913,6.5,1645
Traffic in Souls,1913,6.1,527
Gli ultimi giorni di Pompei,1913,6.2,458
Assunta Spina,1915,6.5,357
The Avenging Conscience: or 'Thou Shalt Not Kill',1914,6.5,1050
The Bargain,1914,6.6,121
Cabiria,1914,7.1,2838
Cinderella,1914,6.1,908
L'enfant de Paris,1913,7.6,279
Fantômas contre Fantômas,1914,7,1112
Le faux magistrat,1914,6.9,885
A Florida Enchantment,1914,5.9,181
Der Golem,1915,6.8,1008
Det hemmelighedsfulde X,1914,7,449
"His Majesty, the Scarecrow of Oz",1914,5.2,398
Hypocrites,1915,6.6,429
In the Land of the Head Hunters,1914,5.9,378
Judith of Bethulia,1914,6.1,1195
The Patchwork Girl of Oz,1914,5.5,354
The Perils of Pauline,1914,6.4,921
The Squaw Man,1914,5.8,802
Tess of the Storm Country,1914,6.3,154
Tillie's Punctured Romance,1914,6.3,3164
A tolonc,1915,6.3,157
The Virginian,1914,5.6,160
The Wishing Ring: An Idyll of Old England,1914,6.6,209
The Wrath of the Gods,1914,5.7,130
Alias Jimmy Valentine,1915,6.7,196
Alice in Wonderland,1915,6.2,347
The Birth of a Nation,1915,6.4,20885
Carmen,1915,6.4,859
The Cheat,1915,6.6,2217
The Coward,1915,6.1,218
A Fool There Was,1915,5.8,728
The Golden Chance,1915,6.5,172
Hævnens Nat,1916,6.9,242
The Italian,1915,6.6,270
Martyrs of the Alamo,1915,5.7,124
The Nigger,1915,6.1,300
Posle smerti,1915,7,751
Rapsodia satanica,1917,6.9,535
The Regeneration,1915,6.9,1047
Les vampires,1915,7.3,3936
Young Romance,1915,6,143
"20,000 Leagues Under the Sea",1916,6.2,1440
The Children in the House,1916,4.6,554
Civilization,1915,6,256
The Devil's Needle,1916,6.8,111
Dödskyssen,1916,6.1,186
Flirting with Fate,1916,6.3,132
Going Straight,1916,5.3,603
The Good Bad-Man,1916,6.6,122
Gretchen the Greenhorn,1916,5.8,469
The Half-Breed,1916,6.6,126
Hell's Hinges,1916,6.8,789
His Picture in the Papers,1916,6,114
Hoodoo Ann,1916,5.6,826
Intolerance: Love's Struggle Throughout the Ages,1916,7.8,13116
Judex,1916,7.4,814
The Matrimaniac,1916,6,560
Pikovaya dama,1916,7,578
Reggie Mixes In,1916,4.8,553
The Return of Draw Egan,1916,6.6,128
Schuhpalast Pinkus,1916,5.6,163
Sherlock Holmes,1916,6.5,290
Shoes,1916,6.6,182
Snow White,1916,6.3,333
The Social Secretary,1916,5.3,498
Where Are My Children?,1916,6.4,544
'49-'17,1917,5.8,236
Bucking Broadway,1917,6,434
Cleopatra,1917,6.5,291
Furcht,1917,6.3,110
A Girl's Folly,1917,6.2,122
Himmelskibet,1918,6.6,552
Joan the Woman,1916,6.6,474
The Little American,1917,5.8,581
The Little Princess,1917,5.8,623
A Modern Musketeer,1917,6.7,250
Otets Sergiy,1918,7.2,425
The Poor Little Rich Girl,1917,6.7,1224
"Raffles, the Amateur Cracksman",1917,6.5,116
Rebecca of Sunnybrook Farm,1917,6.2,743
A Romance of the Redwoods,1917,5.7,712
Satana likuyushchiy,1917,6.9,136
Straight Shooting,1917,6.2,335
Terje Vigen,1917,7.4,1384
Thomas Graals bästa film,1917,6.2,175
Tillie Wakes Up,1917,4.8,479
Tom Sawyer,1917,6.2,132
Tösen från Stormyrtorpet,1917,6.7,138
Wild and Woolly,1917,6.5,537
Amarilly of Clothes-Line Alley,1918,5.9,730
Az aranyember,1919,6,114
Die Augen der Mumie Ma,1918,5.5,533
Berg-Ejvind och hans hustru,1918,7.3,1411
The Blue Bird,1918,7,739
Carmen,1918,6.1,247
La dixième symphonie,1918,6,116
Das fidele Gefängnis,1917,6.2,496
The Forbidden City,1918,5.4,270
Hearts of the World,1918,6.4,872
Johanna Enlists,1918,5.2,588
M'Liss,1918,6.6,111
The Married Virgin,1918,5.3,607
Mickey,1918,5.9,1038
Old Wives for New,1918,6.5,162
A Pair of Silk Stockings,1918,4.4,470
A Romance of Happy Valley,1919,6.1,316
Shifting Sands,1918,5.2,684
Shoulder Arms,1918,7.3,5411
Stella Maris,1918,6.7,1323
Tarzan of the Apes,1918,5.7,631
Tih Minh,1918,7,295
The Whispering Chorus,1918,6.9,243
Anders als die Andern,1919,7,1050
Ravished Armenia,1919,5.9,941
Die Austernprinzessin,1919,7.2,1544
El automóvil gris,1919,7.1,149
Back to God's Country,1919,6.3,824
Behind the Door,1919,7.1,141
Blind Husbands,1919,7,1269
Broken Blossoms or The Yellow Man and the Girl,1919,7.4,8777
The Busher,1919,5.7,622
Daddy-Long-Legs,1919,6.5,1284
The Delicious Little Devil,1919,6,801
Don't Change Your Husband,1919,6.7,1103
Eyes of Youth,1919,5.4,635
"For Better, for Worse",1919,5.4,691
Getting Mary Married,1919,6.6,187
The Greatest Question,1919,5.8,653
The Grim Game,1919,6.9,242
Harakiri,1919,5.6,517
Hawthorne of the U.S.A.,1919,3.9,362
Heart o' the Hills,1919,5.7,499
Herr Arnes pengar,1919,7.3,1117
The Hoodlum,1919,6.7,906
Ich möchte kein Mann sein,1918,6.9,1157
J'accuse,1919,7.7,1303
Das Cabinet des Dr. Caligari,1920,8.1,51644
Male and Female,1919,7,1671
Meyer aus Berlin,1919,6,162
The Miracle Man,1919,6.7,142
The Mother and the Law,1919,6.9,160
Die Pest in Florenz,1919,6.4,112
Præsidenten,1919,6.6,733
Die Puppe,1919,7.4,1539
The Roaring Road,1919,5.2,587
Scarlet Days,1919,5,410
The Sentimental Bloke,1919,6.3,225
"Die Spinnen, 1. Teil - Der Goldene See",1919,6.7,980
Sången om den eldröda blomman,1919,6.9,134
True Heart Susie,1919,7,1519
Unheimliche Geschichten,1919,6.6,400
Victory,1919,6.6,308
Wagon Tracks,1919,6.9,115
When the Clouds Roll by,1919,6.9,741
The Wicked Darling,1919,6.5,310
Yankee Doodle in Berlin,1919,5.6,713
Algol - Tragödie der Macht,1920,6.3,121
Anna Boleyn,1920,6.5,533
L'Atlantide,1921,6.7,296
Blade af Satans bog,1920,6.7,1034
Dr. Jekyll and Mr. Hyde,1920,7,4477
Dr. Jekyll and Mr. Hyde,1920,5.4,116
Erotikon,1920,6.6,674
Fante-Anne,1920,6.3,112
The Flapper,1920,6.6,271
Der Gang in die Nacht,1921,6.4,277
Genuine,1920,6,791
"Der Golem, wie er in die Welt kam",1920,7.2,5933
Headin' Home,1920,5.1,244
L'Hirondelle et la Mésange,1924,7.1,145
L'homme du large,1920,7,176
Humoresque,1920,6.3,121
Just Pals,1920,6.7,310
Der Klosterjäger,1920,6.1,111
Klostret i Sendomir,1920,6.9,297
Kohlhiesels Töchter,1920,6.7,245
The Last of the Mohicans,1920,6.7,1051
The Love Expert,1920,5,130
The Mark of Zorro,1920,7.1,2020
Markens grøde,1921,6.6,184
The Mollycoddle,1920,6.7,113
Nomads of the North,1920,5.7,175
The Penalty,1920,7.4,1898
Pollyanna,1920,6.6,321
Prästänkan,1920,7.2,975
Romeo und Julia im Schnee,1920,6.5,143
The Round-Up,1920,5.6,121
The Saphead,1920,6.2,1337
Sex,1920,6.1,253
Something to Think About,1920,5.4,563
"Die Spinnen, 2. Teil - Das Brillantenschiff",1920,6.5,715
Suds,1920,6.3,199
Sumurun,1920,6.1,584
Terror Island,1920,5.5,152
The Toll Gate,1920,6.5,178
Von morgens bis mitternachts,1920,6.9,384
Das wandernde Bild,1920,6.1,330
Way Down East,1920,7.5,4734
Why Change Your Wife?,1920,6.7,1295
Within Our Gates,1920,6.3,2019
The Ace of Hearts,1921,6.8,1003
The Affairs of Anatol,1921,6.6,1191
Be My Wife,1921,7,337
Die Bergkatze,1921,7,973
The Blot,1921,6.8,436
Buried Treasure,1921,6.4,167
Camille,1921,6.6,844
The Conquering Power,1921,6.8,393
Dream Street,1921,5.6,118
Ducks and Drakes,1921,6.4,114
Eldorado,1921,7,338
Enchantment,1921,6.4,258
Forbidden Fruit,1921,6.6,100
The Four Horsemen of the Apocalypse,1921,7.2,2935
Hamlet,1921,7,358
Hintertreppe,1921,6.8,190
Das indische Grabmal zweiter Teil - Der Tiger von Eschnapur,1921,6.8,276
Das indische Grabmal erster Teil - Die Sendung des Yoghi,1921,6.7,229
Johan,1921,6.9,197
The Kid,1921,8.3,101619
Körkarlen,1921,8.1,9322
Leap Year,1924,6.1,258
Little Lord Fauntleroy,1921,6.7,262
The Love Light,1921,6.5,330
Miss Lulu Bett,1921,7,286
My Boy,1921,6.2,230
Der müde Tod,1921,7.7,4695
The Nut,1921,6.5,194
Orphans of the Storm,1921,7.4,4475
Outside the Law,1920,6.6,441
Rojô no reikion,1921,6.7,119
A Sailor-Made Man,1921,7,901
Sappho,1921,6.8,114
Scherben,1921,6.4,199
Schloß Vogelöd,1921,6.3,1273
The Sheik,1921,6.4,2958
La terre,1921,6.9,130
The Three Musketeers,1921,6.9,800
Through the Back Door,1921,6.8,150
Tol'able David,1921,6.8,1685
Too Wise Wives,1921,5.9,125
Vier um die Frau,1921,6.2,298
Beauty's Worth,1922,6,706
Beyond the Rocks,1922,6.8,2189
Blood and Sand,1922,6.4,1179
Der brennende Acker,1922,6.9,535
The Bride's Play,1922,6.2,243
Crainquebille,1922,7.1,328
Der var engang,1922,6.3,317
Dr. Jack,1922,7.1,1139
Down to the Sea in Ships,1922,6.2,319
"Dr. Mabuse, der Spieler",1922,7.9,6839
La femme de nulle part,1922,6.4,107
Flesh and Blood,1922,6.3,136
Foolish Wives,1922,7.1,2777
Die Gezeichneten,1922,6.5,331
Grandma's Boy,1922,7,1543
The Headless Horseman,1922,4.9,207
Lorna Doone,1922,6.7,254
The Man from Beyond,1922,5.5,192
Manslaughter,1922,6.2,395
Merry-Go-Round,1923,6.7,270
Monte Cristo,1922,6.7,310
Moran of the Lady Letty,1922,6.5,297
Nathan der Weise,1922,6.9,105
Nosferatu,1922,7.9,82873
Oliver Twist,1922,6.7,676
Othello,1922,6.4,225
Phantom,1922,6.9,1436
The Prisoner of Zenda,1922,6.7,419
Robin Hood,1922,7.2,1886
Salomé,1922,6.6,765
Schatten - Eine nächtliche Halluzination,1923,6.9,787
Shadows,1922,6.3,345
Sherlock Holmes,1922,5.8,526
Sky High,1922,5.8,140
Sodom und Gomorrha,1922,6,159
La souriante Madame Beudet,1923,6.7,1853
Tess of the Storm Country,1922,6.9,397
The Three Must-Get-Theres,1922,7,472
The Toll of the Sea,1922,6.6,609
The Trap,1922,6.1,108
Trapped by the Mormons,1922,5.7,130
Das Weib des Pharao,1922,6.6,422
When Knighthood Was in Flower,1922,6.4,955
The Young Rajah,1922,6.4,351
Das alte Gesetz,1923,6.8,107
Cameo Kirby,1923,5.4,308
Coeur fidèle,1923,7.6,1016
The Covered Wagon,1923,6.5,470
The Extra Girl,1923,6.6,1041
Gunnar Hedes saga,1923,6.9,136
Gösta Berlings saga,1924,7.1,1022
Haldane of the Secret Service,1923,5.6,104
The Hunchback of Notre Dame,1923,7.3,4452
Little Old New York,1923,6.2,874
Our Hospitality,1923,7.8,9351
The Pilgrim,1923,7.4,3891
Raskolnikow,1923,6.9,241
Rosita,1923,6.5,252
La roue,1923,7.4,1678
Safety Last!,1923,8.1,16798
Scaramouche,1923,7,466
Der Schatz,1923,6.7,234
The Shock,1923,6.5,350
Souls for Sale,1923,7,770
Die Straße,1923,7,324
Sylvester,1924,6.2,117
The Ten Commandments,1923,6.8,1768
Three Ages,1923,7.1,3729
Das Wachsfigurenkabinett,1924,6.7,1501
The White Rose,1923,6.5,143
The White Sister,1923,6.9,373
White Tiger,1923,6.4,102
Why Worry?,1923,7.4,1470
A Woman of Paris: A Drama of Fate,1923,7,4426
Zaza,1923,6.2,753
Aelita,1924,6.5,2183
America,1924,6.4,332
Beau Brummel,1924,6.7,393
Black Oxen,1923,5.9,116
Captain January,1924,6.9,194
The Chechahcos,1923,6.5,198
Dorothy Vernon of Haddon Hall,1924,6.8,118
The Enchanted Cottage,1924,6.5,596
The Family Secret,1924,6.3,110
La fille de l'eau,1925,6.9,510
Die Finanzen des Großherzogs,1924,6.5,695
Forbidden Paradise,1924,6.3,119
Girl Shy,1924,7.7,2913
He Who Gets Slapped,1924,7.8,2771
Her Night of Romance,1924,6.8,245
Hot Water,1924,7.2,1161
L'inhumaine,1924,7.2,634
The Iron Horse,1924,7.2,1797
Isn't Life Wonderful,1924,7,268
Janice Meredith,1924,5.7,661
Kean,1924,6.7,136
Der letzte Mann,1924,8.1,11361
Manhandled,1924,6.5,932
The Marriage Circle,1924,7.2,1002
Michael,1924,7.1,1446
Monsieur Beaucaire,1924,5.8,439
The Navigator,1924,7.7,8373
Neobychainye priklyucheniya mistera Vesta v strane bolshevikov,1924,6.6,827
Die Nibelungen: Kriemhilds Rache,1924,8,3656
Die Nibelungen: Siegfried,1924,8.1,4801
Orlacs Hände,1924,7,2008
Papirosnitsa ot Mosselproma,1924,6.9,125
Peter Pan,1924,7.1,797
The Red Lily,1924,7.1,397
Romola,1924,6.4,146
The Sea Hawk,1924,7.1,424
Secrets,1924,5.5,212
Sherlock Jr.,1924,8.2,35132
Stachka,1925,7.6,6434
The Thief of Bagdad,1924,7.8,5141
The White Shadow,1924,6.3,189
Wild Oranges,1924,6.8,417
Wine of Youth,1924,6,301
Yolanda,1924,6.1,123
Die Abenteuer des Prinzen Achmed,1926,7.8,4872
The Big Parade,1925,7.9,5839
Body and Soul,1925,6.2,618
Braveheart,1925,7,174
Bronenosets Potemkin,1925,8,49221
